InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,InvoiceDay,Total_Spend,Day_Of_Week,Hour,Year,Month,cluster
616123,SKU_1237,Office Chair,24,2020-04-08 05:00:00,85.84,77451.0,Norway,0.11,Bank Transfer,16.31,Furniture,In-store,Not Returned,Royal Mail,Paris,High,2020-04-08,2060.16,2,5,2020,4,2
429793,SKU_1700,Office Chair,14,2020-04-08 06:00:00,50.2,72644.0,Germany,0.24,Credit Card,14.55,Accessories,In-store,Not Returned,DHL,Berlin,Low,2020-04-08,702.8000000000001,2,6,2020,4,1
252999,SKU_1733,Desk Lamp,38,2020-04-08 09:00:00,24.69,76081.0,Italy,0.26,Credit Card,10.65,Apparel,In-store,Not Returned,FedEx,Paris,Medium,2020-04-08,938.22,2,9,2020,4,1
161367,SKU_1943,White Mug,21,2020-04-08 11:00:00,21.7,56274.0,Germany,0.28,Credit Card,28.17,Furniture,Online,Not Returned,Royal Mail,London,Low,2020-04-08,455.7,2,11,2020,4,1
505804,SKU_1415,T-shirt,14,2020-04-08 13:00:00,41.7,38532.0,United States,0.26,Bank Transfer,14.71,Apparel,In-store,Not Returned,FedEx,Berlin,Medium,2020-04-08,583.8000000000001,2,13,2020,4,1
857038,SKU_1960,Backpack,33,2020-04-08 14:00:00,75.18,56812.0,Germany,0.49,Credit Card,16.97,Furniture,In-store,Not Returned,FedEx,Amsterdam,High,2020-04-08,2480.94,2,14,2020,4,0
144738,SKU_1490,White Mug,9,2020-04-08 17:00:00,55.35,11365.0,France,0.2,paypall,29.41,Stationery,In-store,Not Returned,Royal Mail,Berlin,Medium,2020-04-08,498.15000000000003,2,17,2020,4,0
657685,SKU_1134,White Mug,42,2020-04-08 18:00:00,8.51,19115.0,Norway,0.02,Credit Card,22.65,Apparel,In-store,Not Returned,FedEx,Amsterdam,High,2020-04-08,357.42,2,18,2020,4,1
211453,SKU_1291,Blue Pen,5,2020-04-09 00:00:00,44.91,84623.0,Portugal,0.45,paypall,25.33,Accessories,Online,Not Returned,Royal Mail,London,High,2020-04-09,224.54999999999998,3,0,2020,4,1
869299,SKU_1582,T-shirt,5,2020-04-09 02:00:00,36.0,75487.0,Italy,0.24,Bank Transfer,27.08,Apparel,In-store,Not Returned,DHL,Paris,Medium,2020-04-09,180.0,3,2,2020,4,0
313567,SKU_1205,Blue Pen,32,2020-04-09 06:00:00,11.95,41077.0,Netherlands,0.32,paypall,21.61,Stationery,Online,Returned,UPS,Berlin,High,2020-04-09,382.4,3,6,2020,4,0
316184,SKU_1477,Wall Clock,16,2020-04-09 10:00:00,80.45,47174.0,Spain,0.2,Bank Transfer,5.02,Electronics,In-store,Not Returned,FedEx,London,Medium,2020-04-09,1287.2,3,10,2020,4,1
398090,SKU_1503,Wall Clock,16,2020-04-09 11:00:00,23.59,87712.0,Italy,0.28,Bank Transfer,21.52,Apparel,Online,Returned,FedEx,Berlin,High,2020-04-09,377.44,3,11,2020,4,1
377707,SKU_1229,Office Chair,19,2020-04-09 14:00:00,77.94,93412.0,United Kingdom,0.41,Credit Card,28.66,Accessories,Online,Not Returned,FedEx,London,Low,2020-04-09,1480.86,3,14,2020,4,1
741179,SKU_1669,Backpack,21,2020-04-09 21:00:00,68.75,54382.0,Norway,0.23,Credit Card,28.54,Apparel,Online,Not Returned,FedEx,Amsterdam,Low,2020-04-09,1443.75,3,21,2020,4,0
560494,SKU_1020,USB Cable,18,2020-04-09 23:00:00,18.4,92418.0,United States,0.21,Bank Transfer,26.3,Apparel,Online,Not Returned,Royal Mail,Amsterdam,Low,2020-04-09,331.2,3,23,2020,4,0
231691,SKU_1009,T-shirt,23,2020-04-10 01:00:00,94.68,12139.0,Sweden,0.21,Bank Transfer,19.75,Stationery,In-store,Not Returned,DHL,Rome,Low,2020-04-10,2177.6400000000003,4,1,2020,4,1
543324,SKU_1544,USB Cable,10,2020-04-10 03:00:00,31.69,25757.0,Germany,0.04,Credit Card,9.1,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Medium,2020-04-10,316.90000000000003,4,3,2020,4,1
886713,SKU_1820,T-shirt,40,2020-04-10 11:00:00,66.32,40592.0,Portugal,0.32,Bank Transfer,19.46,Accessories,Online,Not Returned,DHL,Amsterdam,Low,2020-04-10,2652.7999999999997,4,11,2020,4,0
270102,SKU_1900,USB Cable,15,2020-04-10 14:00:00,28.64,89241.0,Netherlands,0.23,Bank Transfer,12.82,Electronics,Online,Returned,UPS,Rome,Low,2020-04-10,429.6,4,14,2020,4,1
259476,SKU_1450,White Mug,7,2020-04-10 18:00:00,89.58,70990.0,Netherlands,0.02,paypall,16.43,Electronics,Online,Not Returned,FedEx,Rome,High,2020-04-10,627.06,4,18,2020,4,1
858842,SKU_1106,Wireless Mouse,25,2020-04-10 19:00:00,31.77,13279.0,United Kingdom,0.12,Credit Card,13.39,Furniture,In-store,Returned,UPS,Paris,Low,2020-04-10,794.25,4,19,2020,4,0
260928,SKU_1880,White Mug,22,2020-04-10 20:00:00,48.63,46399.0,Germany,0.5,Bank Transfer,9.32,Electronics,Online,Not Returned,DHL,Berlin,Medium,2020-04-10,1069.8600000000001,4,20,2020,4,1
764560,SKU_1377,Office Chair,10,2020-04-10 21:00:00,76.87,28924.0,Portugal,0.46,Bank Transfer,21.37,Furniture,In-store,Not Returned,UPS,Berlin,High,2020-04-10,768.7,4,21,2020,4,1
743561,SKU_1935,White Mug,13,2020-04-11 00:00:00,84.57,30224.0,Norway,0.28,Credit Card,20.7,Apparel,In-store,Not Returned,Royal Mail,Rome,High,2020-04-11,1099.4099999999999,5,0,2020,4,1
348500,SKU_1726,Office Chair,35,2020-04-11 02:00:00,86.19,77592.0,Sweden,0.28,Credit Card,10.67,Apparel,Online,Not Returned,DHL,Amsterdam,High,2020-04-11,3016.65,5,2,2020,4,2
232311,SKU_1120,Wall Clock,49,2020-04-11 04:00:00,12.76,69629.0,Norway,0.21,Credit Card,6.59,Accessories,Online,Not Returned,FedEx,London,Medium,2020-04-11,625.24,5,4,2020,4,0
859034,SKU_1614,Wall Clock,5,2020-04-11 05:00:00,24.7,79569.0,Spain,0.06,paypall,23.27,Electronics,In-store,Not Returned,FedEx,London,Low,2020-04-11,123.5,5,5,2020,4,1
947644,SKU_1915,Headphones,39,2020-04-11 11:00:00,85.98,16457.0,Belgium,0.13,Bank Transfer,15.61,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Medium,2020-04-11,3353.2200000000003,5,11,2020,4,2
599115,SKU_1806,Wireless Mouse,43,2020-04-11 18:00:00,4.17,39972.0,Germany,0.33,paypall,11.67,Electronics,Online,Not Returned,Royal Mail,Rome,Medium,2020-04-11,179.31,5,18,2020,4,0
112115,SKU_1639,Backpack,23,2020-04-11 20:00:00,41.62,80757.0,Belgium,0.19,Credit Card,22.52,Stationery,In-store,Not Returned,FedEx,London,High,2020-04-11,957.26,5,20,2020,4,2
909343,SKU_1156,Wall Clock,24,2020-04-11 22:00:00,23.58,71155.0,France,0.42,Bank Transfer,13.99,Accessories,In-store,Not Returned,FedEx,Berlin,Medium,2020-04-11,565.92,5,22,2020,4,1
626257,SKU_1706,Wall Clock,21,2020-04-12 02:00:00,50.42,81555.0,Norway,0.35,Credit Card,13.5,Accessories,In-store,Not Returned,Royal Mail,Rome,High,2020-04-12,1058.82,6,2,2020,4,1
930185,SKU_1386,USB Cable,40,2020-04-12 03:00:00,67.16,15003.0,Netherlands,0.43,Bank Transfer,14.35,Apparel,Online,Not Returned,DHL,London,Low,2020-04-12,2686.3999999999996,6,3,2020,4,2
778556,SKU_1226,Desk Lamp,44,2020-04-12 10:00:00,11.93,81903.0,Germany,0.07,Bank Transfer,8.61,Furniture,Online,Not Returned,UPS,London,Low,2020-04-12,524.92,6,10,2020,4,1
730111,SKU_1251,Wireless Mouse,20,2020-04-12 11:00:00,53.76,59207.0,Australia,0.09,Bank Transfer,5.52,Accessories,Online,Not Returned,DHL,Rome,Medium,2020-04-12,1075.2,6,11,2020,4,1
900101,SKU_1366,Wireless Mouse,11,2020-04-12 12:00:00,42.19,23941.0,Belgium,0.08,Bank Transfer,26.82,Electronics,Online,Not Returned,UPS,Rome,High,2020-04-12,464.09,6,12,2020,4,1
871246,SKU_1261,Wall Clock,47,2020-04-12 14:00:00,39.95,84757.0,Germany,0.43,Credit Card,9.58,Stationery,Online,Not Returned,UPS,Rome,Low,2020-04-12,1877.65,6,14,2020,4,1
548625,SKU_1104,USB Cable,16,2020-04-12 21:00:00,16.45,95876.0,Spain,0.19,Credit Card,14.19,Stationery,In-store,Not Returned,UPS,Rome,Low,2020-04-12,263.2,6,21,2020,4,1
128625,SKU_1790,Office Chair,41,2020-04-12 22:00:00,68.16,49317.0,France,0.32,Credit Card,24.64,Apparel,Online,Not Returned,UPS,London,Medium,2020-04-12,2794.56,6,22,2020,4,2
836400,SKU_1202,Headphones,23,2020-04-12 23:00:00,17.28,54998.0,Netherlands,0.4,Bank Transfer,12.79,Stationery,In-store,Not Returned,Royal Mail,Rome,High,2020-04-12,397.44000000000005,6,23,2020,4,1
386233,SKU_1719,Blue Pen,39,2020-04-13 00:00:00,76.49,94325.0,Germany,0.17,Credit Card,25.71,Accessories,In-store,Not Returned,Royal Mail,Berlin,Low,2020-04-13,2983.1099999999997,0,0,2020,4,2
136487,SKU_1924,USB Cable,10,2020-04-13 01:00:00,14.57,64490.0,Spain,0.32,Bank Transfer,15.55,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,High,2020-04-13,145.7,0,1,2020,4,0
559054,SKU_1677,Blue Pen,22,2020-04-13 02:00:00,73.12,48903.0,Netherlands,0.27,Bank Transfer,18.79,Stationery,Online,Not Returned,FedEx,Paris,Medium,2020-04-13,1608.64,0,2,2020,4,2
412282,SKU_1276,Office Chair,10,2020-04-13 06:00:00,44.13,84153.0,Australia,0.37,Credit Card,28.13,Apparel,Online,Not Returned,Royal Mail,Rome,Medium,2020-04-13,441.3,0,6,2020,4,1
530424,SKU_1177,Office Chair,49,2020-04-13 08:00:00,74.16,45530.0,Norway,0.02,paypall,24.56,Electronics,In-store,Not Returned,FedEx,Paris,Medium,2020-04-13,3633.8399999999997,0,8,2020,4,2
416205,SKU_1800,Headphones,22,2020-04-13 09:00:00,85.96,98786.0,Portugal,0.48,Credit Card,8.82,Accessories,In-store,Not Returned,UPS,Amsterdam,Medium,2020-04-13,1891.12,0,9,2020,4,2
201376,SKU_1113,Backpack,12,2020-04-13 10:00:00,65.8,66870.0,Spain,0.11,Bank Transfer,16.97,Apparel,In-store,Not Returned,DHL,Paris,High,2020-04-13,789.5999999999999,0,10,2020,4,1
867629,SKU_1265,White Mug,18,2020-04-13 14:00:00,44.65,38212.0,Belgium,0.41,Credit Card,14.03,Electronics,Online,Returned,FedEx,Berlin,High,2020-04-13,803.6999999999999,0,14,2020,4,1
894557,SKU_1586,USB Cable,12,2020-04-13 19:00:00,66.86,76983.0,France,0.19,Bank Transfer,21.85,Apparel,In-store,Not Returned,DHL,Rome,High,2020-04-13,802.3199999999999,0,19,2020,4,1
599653,SKU_1485,Desk Lamp,10,2020-04-13 23:00:00,92.82,29956.0,Italy,0.34,Credit Card,23.31,Stationery,In-store,Not Returned,DHL,Paris,Medium,2020-04-13,928.1999999999999,0,23,2020,4,0
629992,SKU_1271,Backpack,38,2020-04-14 00:00:00,27.05,86613.0,Australia,0.41,Credit Card,24.1,Furniture,In-store,Not Returned,UPS,London,Low,2020-04-14,1027.9,1,0,2020,4,0
821384,SKU_1812,White Mug,48,2020-04-14 08:00:00,12.19,69708.0,Australia,0.03,Credit Card,12.78,Furniture,Online,Not Returned,FedEx,Berlin,Low,2020-04-14,585.12,1,8,2020,4,2
691491,SKU_1511,Blue Pen,16,2020-04-14 14:00:00,50.65,24003.0,Italy,0.03,Bank Transfer,27.54,Furniture,Online,Returned,DHL,Berlin,High,2020-04-14,810.4,1,14,2020,4,1
890546,SKU_1115,Wall Clock,49,2020-04-14 16:00:00,33.65,84136.0,United Kingdom,0.43,Bank Transfer,16.47,Accessories,Online,Not Returned,FedEx,London,Medium,2020-04-14,1648.85,1,16,2020,4,2
136321,SKU_1391,Headphones,1,2020-04-14 17:00:00,75.91,98192.0,United Kingdom,0.13,Credit Card,5.3,Furniture,In-store,Not Returned,UPS,Berlin,Medium,2020-04-14,75.91,1,17,2020,4,2
345014,SKU_1687,Headphones,34,2020-04-14 21:00:00,48.67,29758.0,Sweden,0.38,paypall,11.08,Furniture,In-store,Not Returned,DHL,Rome,Medium,2020-04-14,1654.78,1,21,2020,4,0
256498,SKU_1929,Desk Lamp,16,2020-04-14 22:00:00,57.91,91870.0,United Kingdom,0.29,Credit Card,24.68,Apparel,Online,Not Returned,UPS,Paris,High,2020-04-14,926.56,1,22,2020,4,1
117772,SKU_1725,Desk Lamp,40,2020-04-14 23:00:00,94.42,57911.0,Germany,0.12,Bank Transfer,21.39,Accessories,Online,Not Returned,UPS,Rome,High,2020-04-14,3776.8,1,23,2020,4,2
739430,SKU_1900,USB Cable,7,2020-04-15 04:00:00,13.83,99592.0,United States,0.08,Bank Transfer,11.02,Electronics,Online,Not Returned,UPS,Amsterdam,High,2020-04-15,96.81,2,4,2020,4,0
127723,SKU_1985,USB Cable,28,2020-04-15 09:00:00,84.75,73290.0,United States,0.39,paypall,24.89,Accessories,Online,Not Returned,FedEx,London,High,2020-04-15,2373.0,2,9,2020,4,2
764468,SKU_1511,Notebook,30,2020-04-15 12:00:00,91.69,62678.0,Spain,0.42,Bank Transfer,11.7,Furniture,Online,Not Returned,Royal Mail,London,Medium,2020-04-15,2750.7,2,12,2020,4,2
786684,SKU_1223,White Mug,29,2020-04-15 15:00:00,26.63,45848.0,Italy,0.12,paypall,26.75,Furniture,Online,Not Returned,FedEx,Amsterdam,Low,2020-04-15,772.27,2,15,2020,4,1
990328,SKU_1933,Office Chair,2,2020-04-15 16:00:00,2.79,50070.0,Germany,0.39,Bank Transfer,19.9,Electronics,Online,Not Returned,DHL,Berlin,Low,2020-04-15,5.58,2,16,2020,4,2
179973,SKU_1074,White Mug,35,2020-04-15 21:00:00,84.96,97185.0,Netherlands,0.32,paypall,24.62,Stationery,In-store,Not Returned,FedEx,Paris,Low,2020-04-15,2973.6,2,21,2020,4,0
964008,SKU_1933,Blue Pen,9,2020-04-16 04:00:00,69.46,45277.0,Norway,0.18,Bank Transfer,28.16,Apparel,In-store,Not Returned,FedEx,Rome,High,2020-04-16,625.14,3,4,2020,4,1
731810,SKU_1654,Office Chair,3,2020-04-16 05:00:00,27.02,78254.0,Germany,0.07,Credit Card,6.92,Accessories,In-store,Not Returned,Royal Mail,Paris,Medium,2020-04-16,81.06,3,5,2020,4,1
646900,SKU_1098,Blue Pen,27,2020-04-16 06:00:00,17.14,19059.0,Italy,0.29,Bank Transfer,26.39,Stationery,In-store,Not Returned,UPS,Berlin,Low,2020-04-16,462.78000000000003,3,6,2020,4,1
368615,SKU_1224,Desk Lamp,21,2020-04-16 08:00:00,89.05,92075.0,Italy,0.36,Bank Transfer,11.94,Stationery,In-store,Not Returned,UPS,Amsterdam,Medium,2020-04-16,1870.05,3,8,2020,4,0
312781,SKU_1473,T-shirt,9,2020-04-17 01:00:00,2.18,27442.0,Spain,0.14,paypall,12.99,Accessories,In-store,Not Returned,DHL,Berlin,Medium,2020-04-17,19.62,4,1,2020,4,2
159182,SKU_1299,Headphones,48,2020-04-17 08:00:00,36.45,62021.0,France,0.21,Bank Transfer,19.81,Stationery,In-store,Not Returned,FedEx,London,Low,2020-04-17,1749.6000000000001,4,8,2020,4,2
449307,SKU_1641,White Mug,23,2020-04-17 09:00:00,34.67,45774.0,Sweden,0.34,paypall,27.53,Electronics,In-store,Not Returned,Royal Mail,Rome,High,2020-04-17,797.4100000000001,4,9,2020,4,1
401454,SKU_1425,Wireless Mouse,9,2020-04-17 10:00:00,11.49,56133.0,Spain,0.24,Bank Transfer,28.12,Electronics,In-store,Not Returned,UPS,Rome,High,2020-04-17,103.41,4,10,2020,4,1
753091,SKU_1160,T-shirt,18,2020-04-17 12:00:00,64.99,22776.0,Netherlands,0.03,paypall,7.71,Stationery,In-store,Not Returned,UPS,Rome,Low,2020-04-17,1169.82,4,12,2020,4,2
923346,SKU_1377,Headphones,26,2020-04-17 14:00:00,28.98,95001.0,Sweden,0.19,Bank Transfer,10.77,Accessories,Online,Not Returned,DHL,Amsterdam,High,2020-04-17,753.48,4,14,2020,4,1
669667,SKU_1917,Wireless Mouse,20,2020-04-17 16:00:00,94.39,62785.0,France,0.39,paypall,14.79,Furniture,Online,Not Returned,Royal Mail,Berlin,High,2020-04-17,1887.8,4,16,2020,4,2
358517,SKU_1861,Notebook,16,2020-04-17 19:00:00,91.41,90332.0,France,0.39,Credit Card,19.93,Electronics,In-store,Not Returned,UPS,Berlin,High,2020-04-17,1462.56,4,19,2020,4,1
408557,SKU_1965,Wall Clock,32,2020-04-17 21:00:00,42.21,26197.0,Norway,0.31,Credit Card,24.73,Accessories,Online,Not Returned,Royal Mail,Amsterdam,High,2020-04-17,1350.72,4,21,2020,4,0
980179,SKU_1736,Office Chair,42,2020-04-18 02:00:00,88.02,24459.0,Belgium,0.15,Credit Card,23.95,Accessories,Online,Not Returned,FedEx,London,Low,2020-04-18,3696.8399999999997,5,2,2020,4,2
848013,SKU_1357,Wall Clock,24,2020-04-18 03:00:00,8.81,71546.0,Belgium,0.27,Credit Card,8.01,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,2020-04-18,211.44,5,3,2020,4,2
791738,SKU_1230,Desk Lamp,25,2020-04-18 04:00:00,38.55,11817.0,Germany,0.04,Bank Transfer,10.43,Accessories,Online,Returned,UPS,Paris,Low,2020-04-18,963.7499999999999,5,4,2020,4,1
621863,SKU_1087,Backpack,48,2020-04-18 09:00:00,47.12,47077.0,Spain,0.07,Credit Card,9.04,Accessories,Online,Not Returned,UPS,Amsterdam,Medium,2020-04-18,2261.7599999999998,5,9,2020,4,2
365798,SKU_1823,Headphones,34,2020-04-19 01:00:00,12.75,78338.0,United States,0.18,paypall,16.1,Electronics,In-store,Not Returned,FedEx,London,High,2020-04-19,433.5,6,1,2020,4,1
905175,SKU_1504,Wall Clock,21,2020-04-19 03:00:00,28.46,17767.0,France,0.17,paypall,23.43,Stationery,In-store,Not Returned,DHL,London,Low,2020-04-19,597.66,6,3,2020,4,1
845385,SKU_1943,Headphones,19,2020-04-19 05:00:00,7.92,14531.0,Netherlands,0.23,paypall,13.78,Stationery,In-store,Returned,Royal Mail,London,Low,2020-04-19,150.48,6,5,2020,4,1
219735,SKU_1693,Wireless Mouse,12,2020-04-19 07:00:00,92.13,34013.0,Spain,0.33,paypall,15.82,Apparel,In-store,Not Returned,UPS,Berlin,Low,2020-04-19,1105.56,6,7,2020,4,1
732259,SKU_1456,Backpack,20,2020-04-19 09:00:00,4.74,76162.0,United Kingdom,0.19,Bank Transfer,18.08,Electronics,Online,Not Returned,Royal Mail,Berlin,Low,2020-04-19,94.80000000000001,6,9,2020,4,1
636437,SKU_1719,Wireless Mouse,20,2020-04-19 10:00:00,29.13,63640.0,Italy,0.41,paypall,25.74,Accessories,In-store,Not Returned,DHL,Amsterdam,High,2020-04-19,582.6,6,10,2020,4,1
462246,SKU_1385,Blue Pen,31,2020-04-19 11:00:00,65.06,68686.0,Netherlands,0.4,Bank Transfer,27.91,Electronics,Online,Not Returned,DHL,Berlin,High,2020-04-19,2016.8600000000001,6,11,2020,4,2
421333,SKU_1802,White Mug,29,2020-04-19 12:00:00,2.91,19875.0,Netherlands,0.38,Bank Transfer,24.63,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High,2020-04-19,84.39,6,12,2020,4,1
957463,SKU_1277,Notebook,11,2020-04-19 14:00:00,99.44,23477.0,United States,0.46,paypall,5.1,Accessories,Online,Not Returned,FedEx,Berlin,High,2020-04-19,1093.84,6,14,2020,4,0
311830,SKU_1944,Blue Pen,18,2020-04-19 18:00:00,3.59,91798.0,Italy,0.01,Bank Transfer,28.56,Apparel,Online,Not Returned,DHL,Berlin,High,2020-04-19,64.62,6,18,2020,4,1
296501,SKU_1051,Headphones,9,2020-04-19 19:00:00,81.28,63067.0,United Kingdom,0.5,Credit Card,22.92,Electronics,In-store,Not Returned,Royal Mail,London,Medium,2020-04-19,731.52,6,19,2020,4,1
265140,SKU_1395,USB Cable,12,2020-04-19 21:00:00,4.05,19742.0,Sweden,0.07,Bank Transfer,10.46,Apparel,In-store,Not Returned,DHL,Rome,Medium,2020-04-19,48.599999999999994,6,21,2020,4,1
621998,SKU_1709,T-shirt,8,2020-04-20 03:00:00,10.63,13829.0,France,0.2,Bank Transfer,21.27,Stationery,In-store,Not Returned,Royal Mail,Berlin,High,2020-04-20,85.04,0,3,2020,4,1
859416,SKU_1613,Office Chair,27,2020-04-20 06:00:00,53.87,17713.0,United States,0.19,Bank Transfer,11.08,Furniture,Online,Not Returned,UPS,Berlin,Low,2020-04-20,1454.49,0,6,2020,4,1
827191,SKU_1748,White Mug,6,2020-04-20 10:00:00,22.78,37111.0,Norway,0.35,Bank Transfer,24.57,Accessories,Online,Not Returned,UPS,Berlin,High,2020-04-20,136.68,0,10,2020,4,1
743791,SKU_1215,Desk Lamp,20,2020-04-20 11:00:00,86.59,77811.0,Portugal,0.09,Credit Card,15.89,Furniture,Online,Not Returned,Royal Mail,Rome,High,2020-04-20,1731.8000000000002,0,11,2020,4,1
734929,SKU_1492,Office Chair,48,2020-04-20 16:00:00,24.66,66573.0,Belgium,0.26,Bank Transfer,11.48,Furniture,Online,Not Returned,Royal Mail,Berlin,High,2020-04-20,1183.68,0,16,2020,4,0
549042,SKU_1605,Notebook,10,2020-04-20 18:00:00,39.56,67312.0,Spain,0.06,Bank Transfer,26.84,Apparel,Online,Not Returned,FedEx,Berlin,Medium,2020-04-20,395.6,0,18,2020,4,1
762587,SKU_1127,White Mug,41,2020-04-20 20:00:00,8.87,54218.0,Italy,0.25,paypall,6.96,Apparel,Online,Not Returned,DHL,Rome,Medium,2020-04-20,363.66999999999996,0,20,2020,4,1
262982,SKU_1073,Office Chair,10,2020-04-20 21:00:00,4.86,17068.0,United States,0.23,paypall,17.38,Stationery,In-store,Not Returned,DHL,Amsterdam,High,2020-04-20,48.6,0,21,2020,4,1
561792,SKU_1447,Blue Pen,11,2020-04-21 04:00:00,40.06,21745.0,United Kingdom,0.45,Credit Card,6.66,Electronics,Online,Not Returned,Royal Mail,Paris,Low,2020-04-21,440.66,1,4,2020,4,2
884625,SKU_1558,Blue Pen,30,2020-04-21 06:00:00,65.56,94104.0,Sweden,0.16,paypall,7.39,Accessories,Online,Not Returned,Royal Mail,Rome,High,2020-04-21,1966.8000000000002,1,6,2020,4,1
751844,SKU_1676,Backpack,46,2020-04-21 07:00:00,61.79,47134.0,France,0.03,Credit Card,25.68,Furniture,In-store,Not Returned,UPS,Paris,High,2020-04-21,2842.34,1,7,2020,4,2
117633,SKU_1937,White Mug,5,2020-04-21 12:00:00,63.66,86969.0,Norway,0.43,paypall,19.27,Furniture,Online,Not Returned,Royal Mail,London,Low,2020-04-21,318.29999999999995,1,12,2020,4,2
149104,SKU_1085,Notebook,42,2020-04-21 15:00:00,27.07,56960.0,Netherlands,0.5,Bank Transfer,21.23,Accessories,In-store,Returned,FedEx,Rome,High,2020-04-21,1136.94,1,15,2020,4,1
963663,SKU_1323,USB Cable,8,2020-04-21 16:00:00,46.48,64761.0,Germany,0.07,paypall,14.53,Apparel,In-store,Not Returned,FedEx,Rome,High,2020-04-21,371.84,1,16,2020,4,1
789115,SKU_1056,Notebook,38,2020-04-21 20:00:00,26.82,45813.0,United States,0.35,paypall,16.47,Apparel,In-store,Returned,UPS,Berlin,Medium,2020-04-21,1019.16,1,20,2020,4,1
157993,SKU_1147,Backpack,2,2020-04-22 00:00:00,47.94,81368.0,Netherlands,0.3,Credit Card,19.09,Apparel,Online,Returned,UPS,London,Low,2020-04-22,95.88,2,0,2020,4,1
893853,SKU_1289,Blue Pen,28,2020-04-22 05:00:00,21.35,44418.0,France,0.32,Credit Card,26.49,Apparel,In-store,Not Returned,UPS,Paris,Low,2020-04-22,597.8000000000001,2,5,2020,4,1
842296,SKU_1020,T-shirt,46,2020-04-22 06:00:00,3.25,59854.0,United Kingdom,0.48,Credit Card,6.98,Apparel,In-store,Not Returned,UPS,London,High,2020-04-22,149.5,2,6,2020,4,0
628646,SKU_1969,Notebook,34,2020-04-22 09:00:00,38.18,89681.0,Germany,0.28,paypall,19.52,Accessories,In-store,Not Returned,FedEx,Paris,Low,2020-04-22,1298.12,2,9,2020,4,1
427252,SKU_1368,Wall Clock,11,2020-04-22 10:00:00,80.92,34815.0,Portugal,0.33,Bank Transfer,25.62,Accessories,Online,Not Returned,UPS,Paris,Medium,2020-04-22,890.12,2,10,2020,4,2
394054,SKU_1435,Blue Pen,38,2020-04-22 14:00:00,6.26,68728.0,Norway,0.05,Credit Card,22.28,Accessories,Online,Returned,Royal Mail,London,Low,2020-04-22,237.88,2,14,2020,4,2
544717,SKU_1688,Wireless Mouse,9,2020-04-22 20:00:00,3.05,80195.0,Norway,0.21,Credit Card,26.89,Apparel,Online,Not Returned,UPS,Paris,Low,2020-04-22,27.45,2,20,2020,4,1
794892,SKU_1812,Desk Lamp,1,2020-04-23 02:00:00,81.46,63052.0,Australia,0.29,Bank Transfer,17.09,Electronics,Online,Not Returned,FedEx,London,High,2020-04-23,81.46,3,2,2020,4,1
112323,SKU_1498,Wall Clock,36,2020-04-23 04:00:00,93.41,33286.0,France,0.21,Credit Card,22.91,Electronics,Online,Not Returned,UPS,Berlin,Medium,2020-04-23,3362.7599999999998,3,4,2020,4,2
304451,SKU_1137,Backpack,21,2020-04-23 08:00:00,96.05,41174.0,Belgium,0.05,paypall,20.67,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,2020-04-23,2017.05,3,8,2020,4,1
378600,SKU_1993,Wireless Mouse,34,2020-04-23 09:00:00,27.05,25207.0,Sweden,0.12,Credit Card,13.71,Accessories,Online,Not Returned,UPS,London,Medium,2020-04-23,919.7,3,9,2020,4,0
154624,SKU_1336,Desk Lamp,40,2020-04-23 11:00:00,4.11,14985.0,Belgium,0.15,Credit Card,8.16,Furniture,In-store,Not Returned,UPS,Berlin,Medium,2020-04-23,164.4,3,11,2020,4,1
334565,SKU_1213,Desk Lamp,33,2020-04-23 13:00:00,34.28,67525.0,United States,0.14,Credit Card,18.63,Accessories,In-store,Not Returned,DHL,Berlin,Medium,2020-04-23,1131.24,3,13,2020,4,1
477539,SKU_1290,Headphones,13,2020-04-23 15:00:00,5.66,37070.0,France,0.29,paypall,6.61,Electronics,In-store,Not Returned,DHL,Paris,Medium,2020-04-23,73.58,3,15,2020,4,1
426459,SKU_1370,White Mug,35,2020-04-23 18:00:00,65.15,65949.0,Italy,0.24,paypall,6.68,Accessories,In-store,Not Returned,Royal Mail,Berlin,Low,2020-04-23,2280.25,3,18,2020,4,2
372900,SKU_1691,Blue Pen,6,2020-04-23 20:00:00,86.13,28756.0,France,0.14,Bank Transfer,28.5,Apparel,Online,Returned,Royal Mail,London,Medium,2020-04-23,516.78,3,20,2020,4,1
960226,SKU_1418,Backpack,14,2020-04-24 03:00:00,55.83,76831.0,Germany,0.16,Bank Transfer,19.81,Stationery,In-store,Not Returned,DHL,London,Low,2020-04-24,781.62,4,3,2020,4,2
329189,SKU_1074,Backpack,33,2020-04-24 08:00:00,47.1,28556.0,Spain,0.32,Bank Transfer,10.56,Furniture,In-store,Not Returned,UPS,Rome,Medium,2020-04-24,1554.3,4,8,2020,4,1
